gene,chr,start,end,strand
LINC01914,chr2,41933909,41934909,-
PKDCC,chr2,42047021,42048021,+
OXER1,chr2,42764261,42765261,-
LINC01819,chr2,43040662,43041662,-
LINC01121,chr2,45323397,45324397,-
ZNF863P,chr2,52070355,52071355,+
MIR4432HG,chr2,60439828,60440828,-
VTRNA2-2P,chr2,65555534,65556534,-
MEIS1,chr2,66432452,66433452,+
ANTXR1,chr2,69012176,69013176,+
LRRTM4,chr2,77593319,77594319,-
CENPNP1,chr2,87222488,87223488,-
LINC00342,chr2,95835003,95836003,-
NCAPH,chr2,96334766,96335766,+
ANKRD23,chr2,96857934,96858934,-
IL18RAP,chr2,102417689,102418689,+
LINC01102,chr2,104429130,104430130,+
PANTR1,chr2,104853183,104854183,-
SULT1C2P1,chr2,108321238,108322238,+
BUB1,chr2,110678063,110679063,-
CKAP2L,chr2,112764664,112765664,-
IL36B,chr2,113052867,113053867,-
DPP10-AS1,chr2,115161384,115162384,-
EN1,chr2,118847648,118848648,-
TFCP2L1,chr2,121285202,121286202,-
FAR2P1,chr2,130040560,130041560,-
RRN3P4,chr2,142853095,142854095,+
EIF3EP2,chr2,162087259,162088259,+
IFIH1,chr2,162318684,162319684,-
GCA,chr2,162317840,162318840,+
SCN3A,chr2,165204050,165205050,-
SCN2A,chr2,165193993,165194993,+
SCN1A,chr2,166149214,166150214,-
SPC25,chr2,168913371,168914371,-
PTCHD3P2,chr2,169768799,169769799,-
CDCA7,chr2,173353820,173354820,+
PDE11A,chr2,178108339,178109339,-
CHROMR,chr2,178412635,178413635,+
STAT1,chr2,191020960,191021960,-
STAT4,chr2,191151596,191152596,-
WNT6,chr2,218858805,218859805,+
LINC02832,chr2,219684381,219685381,+
SLC19A3,chr2,227718028,227719028,-
DAW1,chr2,227870054,227871054,+
RN7SL834P,chr2,230506101,230507101,+
NPPC,chr2,231926396,231927396,-
HJURP,chr2,233854566,233855566,-
ASB18,chr2,236264409,236265409,-
IL5RA,chr3,3126613,3127613,-
UBTFL8,chr3,5084429,5085429,-
SSUH2,chr3,8745040,8746040,-
OR7E122P,chr3,8681943,8682943,+
COL6A4P1,chr3,15205959,15206959,-
SGO1,chr3,20186206,20187206,-
OSBPL10-AS1,chr3,31703058,31704058,+
TRANK1,chr3,36945057,36946057,-
MYD88,chr3,38137478,38138478,+
CX3CR1,chr3,39281735,39282735,-
VIPR1-AS1,chr3,42533258,42534258,-
KIF15,chr3,44760721,44761721,+
CCR2,chr3,46352864,46353864,+
CDC25A,chr3,48188417,48189417,-
RNU7-128P,chr3,48179328,48180328,+
NT5DC2,chr3,52535054,52536054,-
LRTM1,chr3,54967088,54968088,-
HESX1,chr3,57227606,57228606,-
CADPS,chr3,62875416,62876416,-
ADAMTS9-AS2,chr3,64683909,64684909,+
LINC00870,chr3,72150236,72151236,+
OR7E55P,chr3,75371342,75372342,-
LINC00971,chr3,84881924,84882924,-
LINC01990,chr3,107429892,107430892,+
LINC00635,chr3,107882250,107883250,-
CIP2A,chr3,108589644,108590644,-
DPPA4,chr3,109337546,109338546,-
LINC01205,chr3,109408990,109409990,+
CD96,chr3,111291719,111292719,+
CFAP44,chr3,113441610,113442610,-
CD80,chr3,119559614,119560614,-
CFAP91,chr3,119702022,119703022,+
POLQ,chr3,121545988,121546988,-
CD86,chr3,122054362,122055362,+
PARP9,chr3,122564577,122565577,-
DTX3L,chr3,122563338,122564338,+
PARP15,chr3,122576628,122577628,+
PARP14,chr3,122679839,122680839,+
ALDH1L1,chr3,126197994,126198994,-
AMOTL2,chr3,134375479,134376479,-
LINC01210,chr3,137770660,137771660,+
BPESC1,chr3,139103185,139104185,+
PLSCR4,chr3,146251179,146252179,-
PLSCR1,chr3,146544856,146545856,-
TM4SF1,chr3,149377692,149378692,-
WWTR1-IT1,chr3,149650184,149651184,-
GPR171,chr3,151203216,151204216,-
STRIT1,chr3,155293683,155294683,-
LINC01192,chr3,163361563,163362563,-
SI,chr3,165078496,165079496,-
SLITRK3,chr3,165197109,165198109,-
EGFEM1P,chr3,168248522,168249522,+
MECOM,chr3,169663775,169664775,-
SAMD7,chr3,169910572,169911572,+
TNFSF10,chr3,172523475,172524475,-
SOX2-OT,chr3,180988762,180989762,+
SOX2,chr3,181710925,181711925,+
LINC01206,chr3,181951343,181952343,+
LAMP3,chr3,183163839,183164839,-
LINC02054,chr3,184398790,184399790,+
RTP4,chr3,187367385,187368385,+
FGF12,chr3,192767764,192768764,-
LINC00887,chr3,194322871,194323871,-
LINC01972,chr3,194768712,194769712,-
APOD,chr3,195584033,195585033,-
SLC26A1,chr4,993440,994440,-
TACC3,chr4,1711858,1712858,+
CD38,chr4,15777275,15778275,+
NCAPG,chr4,17809979,17810979,+
SEC63P2,chr4,35486812,35487812,+
LIMCH1,chr4,41358607,41359607,+
PHOX2B,chr4,41748725,41749725,-
STAP1,chr4,67557727,67558727,+
SULT1E1,chr4,69860145,69861145,-
PRR27,chr4,70132616,70133616,+
CXCL9,chr4,76007509,76008509,-
CXCL10,chr4,76023497,76024497,-
CXCL11,chr4,76041415,76042415,-
PKD2,chr4,88006635,88007635,+
PPM1K,chr4,88284769,88285769,-
HERC6,chr4,88377739,88378739,+
HERC5,chr4,88456119,88457119,+
SNCA,chr4,89838315,89839315,-
SMARCAD1-DT,chr4,94207556,94208556,-
UNC5C,chr4,95549206,95550206,-
UNC5C-AS1,chr4,95548129,95549129,+
EMCN,chr4,100880126,100881126,-
CENPE,chr4,103198445,103199445,-
CXXC4,chr4,104494901,104495901,-
ENPEP,chr4,110364733,110365733,+
ZGRF1,chr4,112636995,112637995,-
CCNA2,chr4,121823883,121824883,-
PLK4,chr4,127879893,127880893,+
PABPC4L,chr4,134201789,134202789,-
LINC02485,chr4,135123779,135124779,-
LINC02511,chr4,137212799,137213799,-
HHIP-AS1,chr4,144661357,144662357,-
TTC29,chr4,146945882,146946882,-
LINC02273,chr4,152089459,152090459,+
RXFP1,chr4,158314311,158315311,+
DDX60,chr4,168318883,168319883,-
DDX60L,chr4,168537786,168538786,-
ADAM29,chr4,174828668,174829668,+
NEIL3,chr4,177308874,177309874,+
CENPU,chr4,184734130,184735130,-
LINC01093,chr4,184899553,184900553,-
SORBS2,chr4,185956652,185957652,-
ICE2P1,chr4,188389666,188390666,-
TRIP13,chr5,891884,892884,+
LINC01194,chr5,12573830,12574830,+
DNAH5,chr5,14011818,14012818,-
FBXL7,chr5,15499180,15500180,+
LINC02217,chr5,17402889,17403889,+
CDH18,chr5,20575873,20576873,-
LINC02241,chr5,20610806,20611806,+
LINC02228,chr5,25190956,25191956,-
LINC02064,chr5,29396095,29397095,-
LINC02160,chr5,33228257,33229257,+
IL7R,chr5,35851695,35852695,+
MFSD4BP1,chr5,52581106,52582106,-
DDX4,chr5,55737017,55738017,+
LINC02101,chr5,58122375,58123375,-
GAPT,chr5,58490435,58491435,+
DEPDC1B,chr5,60700190,60701190,-
CENPK,chr5,65563168,65564168,-
BCL9P1,chr5,67635382,67636382,+
CCNB1,chr5,69166135,69167135,+
TMEM171,chr5,73119569,73120569,+
VCAN,chr5,83470618,83471618,+
LINC00461,chr5,88691057,88692057,-
SLF1,chr5,94617669,94618669,+
ST8SIA4,chr5,100903282,100904282,-
HMGN1P14,chr5,111846566,111847566,-
HSPE1P10,chr5,126737995,126738995,-
LMNB1,chr5,126775623,126776623,+
ACSL6,chr5,132012243,132013243,-
KIF20A,chr5,138177719,138178719,+
RPS27AP18,chr5,138267757,138268757,-
CDC25C,chr5,138338355,138339355,-
APBB3,chr5,140564781,140565781,-
CD14,chr5,140633701,140634701,-
PCDHA4,chr5,140805929,140806929,+
PPP2R2B,chr5,147084784,147085784,-
SPINK1,chr5,147831671,147832671,-
SH3TC2-DT,chr5,149062254,149063254,+
NMUR2,chr5,152433368,152434368,-
SGCD,chr5,155869344,155870344,+
HMMR,chr5,163459203,163460203,+
LINC01938,chr5,165241756,165242756,-
TENM2,chr5,167283799,167284799,+
NEURL1B,chr5,172640263,172641263,+
NKX2-5,chr5,173235311,173236311,-
ARL2BPP6,chr5,175289731,175290731,+
PROP1,chr5,177996242,177997242,-
LTC4S,chr5,179792980,179793980,+
SERPINB9,chr6,2903309,2904309,-
TCF19,chr6,31157547,31158547,+
CFB,chr6,31944650,31945650,+
C4A,chr6,31981057,31982057,+
KIFC1,chr6,33390823,33391823,+
DPRXP2,chr6,35991374,35992374,-
RAB44,chr6,36696826,36697826,+
KIF6,chr6,39725408,39726408,-
TREML1,chr6,41154347,41155347,-
SPATS1,chr6,44341650,44342650,+
TFAP2D,chr6,50712526,50713526,+
TFAP2B,chr6,50817723,50818723,+
PKHD1,chr6,52087613,52088613,-
RN7SL580P,chr6,51974673,51975673,+
PAQR8,chr6,52360421,52361421,+
SREK1IP1P2,chr6,52687661,52688661,+
GSTA6P,chr6,52813460,52814460,-
RNU1-136P,chr6,53218261,53219261,+
DHFRP6,chr6,56276796,56277796,-
LGSN,chr6,63319983,63320983,-
KCNQ5-AS1,chr6,73143514,73144514,-
RN7SL827P,chr6,73487877,73488877,-
TTK,chr6,80002887,80003887,+
LINC02857,chr6,84018204,84019204,+
C6orf163,chr6,87343813,87344813,+
SIM1,chr6,100464921,100465921,-
LIN28B-AS1,chr6,104941447,104942447,-
CRYBG1,chr6,106359717,106360717,+
LINC02532,chr6,106788148,106789148,-
CALHM5,chr6,116510639,116511639,+
TRDN-AS1,chr6,123388421,123389421,+
LINC00326,chr6,132953257,132954257,+
TARID,chr6,133892802,133893802,-
RN7SKP299,chr6,136544192,136545192,+
RNA5SP219,chr6,136629243,136630243,+
NHEG1,chr6,136993234,136994234,-
SMIM28,chr6,138376905,138377905,+
MARCKSL1P2,chr6,138403560,138404560,-
ZC3H12D,chr6,149485014,149486014,-
RNU6-1247P,chr6,151280612,151281612,-
LINC02840,chr6,152875991,152876991,-
HNRNPH1P1,chr6,159713985,159714985,-
PDE10A,chr6,165988117,165989117,-
HNRNPA1P49,chr6,166333568,166334568,+
LINC00574,chr6,169789038,169790038,+
LINC01624,chr6,170271474,170272474,+
RNU6-218P,chr7,6056500,6057500,+
NPM1P11,chr7,11258535,11259535,-
MEOX2,chr7,15686683,15687683,-
ITGB8,chr7,20329702,20330702,+
RAPGEF5,chr7,22357154,22358154,-
IL6,chr7,22724884,22725884,+
ANLN,chr7,36388821,36389821,+
GPR141,chr7,37682766,37683766,+
NME8,chr7,37847597,37848597,+
TRGV4,chr7,38354517,38355517,-
POU6F2,chr7,38976909,38977909,+
UPK3B,chr7,76509525,76510525,+
FGL2,chr7,77199848,77200848,-
SEMA3E,chr7,83649139,83650139,-
SEMA3A,chr7,84492724,84493724,-
SEMA3D,chr7,85187056,85188056,-
SAMD9,chr7,93118023,93119023,-
SAMD9L,chr7,93148385,93149385,-
COL1A2,chr7,94393895,94394895,+
DLX6-AS1,chr7,97014088,97015088,-
DLX6,chr7,97004553,97005553,+
ZAN,chr7,100732595,100733595,+
RELN,chr7,103989658,103990658,-
LHFPL3-AS1,chr7,104804107,104805107,-
PRKAR2B-AS1,chr7,107133733,107134733,-
POLR2DP2,chr7,115502367,115503367,+
SLC13A1,chr7,123199972,123200972,-
LEP,chr7,128240278,128241278,+
SLC23A4P,chr7,135317752,135318752,-
ATP6V0A4,chr7,138799560,138800560,-
RAB19,chr7,140403058,140404058,+
CLEC5A,chr7,141947007,141948007,-
OR6W1P,chr7,143063585,143064585,-
DPY19L4P2,chr7,145582197,145583197,+
GIMAP8,chr7,150449630,150450630,+
GALNTL5,chr7,151955379,151956379,+
XRCC2,chr7,152676141,152677141,-
DPP6,chr7,153886097,153887097,+
GS1-24F4.2,chr8,6834535,6835535,+
FAM86B3P,chr8,8227595,8228595,+
C8orf74,chr8,10671628,10672628,+
BLK,chr8,11485894,11486894,+
TRMT9B,chr8,12944642,12945642,+
SGCZ,chr8,15238431,15239431,-
TUSC3,chr8,15416215,15417215,+
PDGFRL,chr8,17575433,17576433,+
TNFRSF10C,chr8,23101921,23102921,+
SINHCAFP3,chr8,23635507,23636507,-
ESCO2,chr8,27770949,27771949,+
PBK,chr8,27838082,27839082,-
TPT1P8,chr8,36886456,36887456,+
IDO1,chr8,39901275,39902275,+
IDO2,chr8,39933614,39934614,+
LINC00293,chr8,46821174,46822174,+
OPRK1,chr8,53251637,53252637,-
RP1,chr8,54508422,54509422,+
XKR4,chr8,55101028,55102028,+
LINC01606,chr8,57141659,57142659,+
LINC01289,chr8,63768428,63769428,+
CYP7B1,chr8,64798737,64799737,-
VXN,chr8,66492520,66493520,+
MYBL1,chr8,66614247,66615247,-
ARFGEF1-DT,chr8,67342975,67343975,+
C8orf34-AS1,chr8,68331689,68332689,-
C8orf34,chr8,68329955,68330955,+
PI15,chr8,74823534,74824534,+
LINC01111,chr8,76405654,76406654,+
STMN2,chr8,79610117,79611117,+
CNBD1,chr8,86865415,86866415,+
CALB1,chr8,90095475,90096475,-
LINC00534,chr8,90220341,90221341,+
RAD54B,chr8,94475115,94476115,-
CCNE2,chr8,94896678,94897678,-
SUMO2P18,chr8,97858947,97859947,-
GRHL2,chr8,101491439,101492439,+
PTMAP15,chr8,103559389,103560389,-
LINC01608,chr8,111040372,111041372,-
DSCC1,chr8,119855894,119856894,-
HAS2-AS1,chr8,121638293,121639293,+
ATAD2,chr8,123416350,123417350,-
LINC00861,chr8,126292788,126293788,-
LINC00824,chr8,128564679,128565679,-
SLA,chr8,133102912,133103912,-
LINC02055,chr8,135858369,135859369,+
DENND3-AS1,chr8,141130070,141131070,-
ARC,chr8,142614479,142615479,-
LY6K,chr8,142699111,142700111,+
RHPN1-AS1,chr8,143368548,143369548,-
SPATC1,chr8,144011280,144012280,+
SMPD5,chr8,144048079,144049079,+
DMRT1,chr9,840690,841690,+
CARM1P1,chr9,3053408,3054408,-
JAK2,chr9,4983390,4984390,+
PDSS1P1,chr9,5086112,5087112,-
CDCA4P1,chr9,14592577,14593577,+
FREM1,chr9,14910995,14911995,-
BNC2,chr9,16870843,16871843,-
SAXO1,chr9,19049358,19050358,-
SLC24A2,chr9,19789037,19790037,-
IFNB1,chr9,21077942,21078942,-
DDX58,chr9,32526208,32527208,-
LINC01251,chr9,33738416,33739416,-
KIF24,chr9,34329268,34330268,-
FAM221B,chr9,35828747,35829747,-
MELK,chr9,36571862,36572862,+
DNAJB5P1,chr9,76932066,76933066,-
CDC20P1,chr9,87010652,87011652,+
TDRD7,chr9,97411096,97412096,+
FOXE1,chr9,97852226,97853226,+
TRIM14,chr9,98119222,98120222,-
GALNT12,chr9,98806670,98807670,+
GRIN3A,chr9,101738647,101739647,-
LINC01492,chr9,103325034,103326034,-
RNU6-1064P,chr9,107797847,107798847,-
FRRS1L,chr9,109167249,109168249,-
PAPPA,chr9,116152791,116153791,+
TLR4,chr9,117703175,117704175,+
GLT6D1,chr9,135639540,135640540,-
NALT1,chr9,136545212,136546212,+
LINC01451,chr9,136617181,136618181,-
LINC02908,chr9,137026464,137027464,+
FUT7,chr9,137032088,137033088,-
DIP2C,chr10,689668,690668,-
IL15RA,chr10,5978187,5979187,-
LINC02663,chr10,9878060,9879060,-
MCM10,chr10,13160558,13161558,+
KIAA1217,chr10,23693746,23694746,+
ZNF32-AS2,chr10,43644942,43645942,+
ALOX5,chr10,45373176,45374176,+
ZNF488,chr10,47384293,47385293,-
TMEM273,chr10,49188585,49189585,-
THAP12P3,chr10,52410135,52411135,+
ZWINT,chr10,56361273,56362273,-
CDK1,chr10,60777331,60778331,+
RPS3AP38,chr10,67961464,67962464,-
BMS1P4,chr10,73730487,73731487,-
ANKRD22,chr10,88851844,88852844,-
CH25H,chr10,89207317,89208317,-
IFIT2,chr10,89282694,89283694,+
IFIT3,chr10,89326307,89327307,+
IFIT1,chr10,89391546,89392546,+
IFIT5,chr10,89413568,89414568,+
KIF20B,chr10,89700590,89701590,+
KIF11,chr10,92573105,92574105,+
CEP55,chr10,93495612,93496612,+
HELLS,chr10,94500434,94501434,+
SEC31B,chr10,100519864,100520864,-
ADD3-AS1,chr10,110008381,110009381,-
HMGB3P5,chr10,110449629,110450629,+
LINC02626,chr10,114993657,114994657,+
C10orf88B,chr10,122878681,122879681,+
C10orf88,chr10,122954311,122955311,-
MKI67,chr10,128126423,128127423,-
IFITM1,chr11,309041,310041,+
CEND1,chr11,790113,791113,-
OR52K3P,chr11,4392775,4393775,+
TRIM22,chr11,5688697,5689697,+
OR10A2,chr11,6862057,6863057,+
RIC3,chr11,8169055,8170055,-
RN7SKP90,chr11,16841253,16842253,+
ABCC8,chr11,17476894,17477894,-
SAA1,chr11,18265260,18266260,+
E2F8,chr11,19241620,19242620,-
LUZP2,chr11,24495970,24496970,+
KCNA4,chr11,30017030,30018030,-
MPPED2,chr11,30586872,30587872,-
MYBPC3,chr11,47352702,47353702,-
UBTFL9,chr11,49134800,49135800,-
YPEL4,chr11,57649944,57650944,-
OR9Q1,chr11,58022881,58023881,+
FAM111B,chr11,59106185,59107185,+
MPEG1,chr11,59212927,59213927,-
OR5A1,chr11,59435469,59436469,+
OR4D9,chr11,59510368,59511368,+
MS4A4A,chr11,60184657,60185657,+
SLC22A10,chr11,63267022,63268022,+
BATF2,chr11,64997018,64998018,-
CDCA5,chr11,65084164,65085164,-
TSGA10IP,chr11,65944445,65945445,+
FAM86C2P,chr11,67805336,67806336,-
SHANK2,chr11,71252577,71253577,-
OR7E128P,chr11,71892410,71893410,+
P2RY6,chr11,73263498,73264498,+
DDIAS,chr11,82898975,82899975,+
LINC02746,chr11,92915644,92916644,-
WTAPP1,chr11,102745968,102746968,+
MMP3,chr11,102843609,102844609,-
LINC02552,chr11,104609498,104610498,-
CASP5,chr11,105023168,105024168,-
ZBTB16,chr11,114058041,114059041,+
LINC00900,chr11,115760646,115761646,-
FXYD6,chr11,117877486,117878486,-
TMPRSS13,chr11,117929459,117930459,-
IL10RA,chr11,117985370,117986370,+
CD3G,chr11,118343344,118344344,+
POU2F3,chr11,120235640,120236640,+
TMEM225,chr11,123885670,123886670,-
OR8D1,chr11,124315099,124316099,-
OR8B7P,chr11,124325789,124326789,-
OR8B5P,chr11,124358469,124359469,-
OR8A1,chr11,124565660,124566660,+
BARX2,chr11,129374848,129375848,+
LINC02717,chr11,135007779,135008779,-
FOXM1,chr12,2877174,2878174,-
RAD51AP1,chr12,4537798,4538798,+
CDCA3,chr12,6851292,6852292,-
DPPA3,chr12,7710433,7711433,+
FAM90A1,chr12,8227618,8228618,-
LINC00937,chr12,8396803,8397803,-
DDX12P,chr12,9448229,9449229,-
CLEC7A,chr12,10130258,10131258,-
ERP27,chr12,14938537,14939537,-
PTPRO,chr12,15321257,15322257,+
LMO3,chr12,16610594,16611594,-
LINC02909,chr12,25006403,25007403,-
RNU6-1069P,chr12,31803090,31804090,-
FGD4,chr12,32398558,32399558,+
LRRK2-DT,chr12,40224915,40225915,-
DBX2-AS1,chr12,45049901,45050901,+
COL2A1,chr12,48004554,48005554,-
TROAP,chr12,49322236,49323236,+
HOXC8,chr12,54007985,54008985,+
STAT2,chr12,56360167,56361167,-
RN7SKP261,chr12,80343792,80344792,-
SLC6A15,chr12,84913629,84914629,-
LINC02822,chr12,90575402,90576402,+
CLLU1,chr12,92420531,92421531,+
SLC9A7P1,chr12,98457145,98458145,-
TMPO-AS1,chr12,98516422,98517422,-
SLC5A8,chr12,101210238,101211238,-
RFX4,chr12,106582004,106583004,+
LINC01486,chr12,109359488,109360488,-
FAM222A-AS1,chr12,109773508,109774508,-
LINC01405,chr12,110933590,110934590,+
OAS1,chr12,112904856,112905856,+
OAS3,chr12,112937051,112938051,+
OAS2,chr12,112977395,112978395,+
LINC01234,chr12,113773726,113774726,-
TBX5,chr12,114408442,114409442,-
NOS1,chr12,117452170,117453170,-
KSR2,chr12,117968990,117969990,-
TMEM233,chr12,119592774,119593774,+
MSI1,chr12,120369164,120370164,-
OASL,chr12,121039242,121040242,-
KNTC1,chr12,122526246,122527246,+
LINC00939,chr12,125983665,125984665,-
LINC02405,chr12,127060565,127061565,-
LINC00507,chr12,127913707,127914707,+
NLRP9P1,chr12,129012336,129013336,+
LINC02418,chr12,130045057,130046057,-
FZD10-AS1,chr12,130162256,130163256,-
RNU6-1077P,chr12,130869837,130870837,-
RPS6P20,chr12,131293176,131294176,-
RNA5SP378,chr12,131801434,131802434,-
PPIAP27,chr13,20956443,20957443,-
SKA3,chr13,21176552,21177552,-
LINC01053,chr13,25167969,25168969,+
ATP8A2,chr13,25370974,25371974,+
WASF3-AS1,chr13,26641793,26642793,-
PLUT,chr13,27917298,27918298,-
TEX26,chr13,30931656,30932656,+
IFIT1P1,chr13,32383660,32384660,+
LINC00598,chr13,40535807,40536807,-
EPSTI1,chr13,42992271,42993271,-
ZDHHC4P1,chr13,42932858,42933858,+
SMIM2-AS1,chr13,44109451,44110451,+
LINC00330,chr13,44809630,44810630,-
SIAH3,chr13,45851753,45852753,-
PPP1R26P1,chr13,48320475,48321475,-
DIAPH3,chr13,60163928,60164928,-
RPL32P28,chr13,62326988,62327988,+
LINC00355,chr13,64076044,64077044,-
ACOD1,chr13,76947511,76948511,+
SCEL,chr13,77534674,77535674,+
HSPD1P8,chr13,78848231,78849231,+
SLITRK1,chr13,83882474,83883474,-
GPR183,chr13,99307399,99308399,-
NALCN,chr13,101416508,101417508,-
FGF14,chr13,102402457,102403457,-
RPL35P9,chr13,106424773,106425773,+
TNFSF13B,chr13,108250240,108251240,+
RNA5SP39,chr13,108301331,108302331,-
SOX1-OT,chr13,112055845,112056845,+
OR4K2,chr14,19874142,19875142,+
OR4E2,chr14,21652835,21653835,+
AP1G2-AS1,chr14,23560097,23561097,+
IRF9,chr14,24160265,24161265,+
REC8,chr14,24170853,24171853,+
NYNRIN,chr14,24398003,24399003,+
NOVA1,chr14,26598033,26599033,-
NOVA1-DT,chr14,26597369,26598369,+
LINC01551,chr14,28764640,28765640,+
LINC02327,chr14,28828881,28829881,+
AKAP6,chr14,32328298,32329298,+
NPAS3,chr14,32933396,32934396,+
LINC00639,chr14,38948273,38949273,-
FANCM,chr14,45134930,45135930,+
POLE2,chr14,49688422,49689422,-
