Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cell adhesion molecules	8/148	0.05446937740565868	0.28920645622528296	0	0	2.0167145468790806	5.868874516016072	CD86;CD274;VCAN;VCAM1;CD80;CLDN7;ITGB8;SIGLEC1
AGE-RAGE signaling pathway in diabetic complications	6/100	0.05980254186908831	0.3101387636466673	0	0	2.2498546680618534	6.337181646199063	IL6;VCAM1;STAT1;CYBB;CCL2;JAK2
Osteoclast differentiation	7/127	0.0638302170180778	0.32350314534162156	0	0	2.057101581508516	5.660173793034195	FCGR3A;IFNB1;STAT1;STAT2;LILRB2;FCGR2C;IRF9
Legionellosis	4/57	0.07331898301402004	0.36333629360281045	0	0	2.656165462452488	6.9403896326545835	IL6;CD14;TLR4;MYD88
Human papillomavirus infection	14/331	0.07892298630062514	0.376967923629011	0	0	1.5614967025662256	3.9650816549857404	IFNB1;STAT1;STAT2;MX2;MX1;EIF2AK2;ISG15;OASL;CCNA2;WNT6;CCNE2;E2F1;ITGB8;IRF9
Primary bile acid biosynthesis	2/17	0.07945063861239245	0.376967923629011	0	0	4.684749849306812	11.864688109438605	CH25H;CYP7B1
Arachidonic acid metabolism	4/61	0.08904915496439575	0.40912295782080976	0	0	2.469258445569459	5.972066395198247	CYP2J2;JMJD7-PLA2G4B;ALOX5;LTC4S
TNF signaling pathway	6/112	0.09173160489255824	0.40912295782080976	0	0	1.9939168986493454	4.763244757898365	CXCL10;IL6;VCAM1;IFNB1;CCL2;NOD2
Toxoplasmosis	6/112	0.09173160489255824	0.40912295782080976	0	0	1.9939168986493454	4.763244757898365	STAT1;ALOX5;IL10RA;JAK2;TLR4;MYD88
Graft-versus-host disease	3/42	0.11040533967584856	0.47346905284065827	0	0	2.7042920847268674	5.9591693292174455	CD86;IL6;CD80
Tryptophan metabolism	3/42	0.11040533967584856	0.47346905284065827	0	0	2.7042920847268674	5.9591693292174455	KMO;IDO2;IDO1
Chagas disease	5/102	0.15399721261138044	0.6479505360818459	0	0	1.8133083411433928	3.3923749190990637	IL6;IFNB1;CCL2;TLR4;MYD88
FoxO signaling pathway	6/131	0.15742241034412024	0.6500173753790298	0	0	1.6891803278688524	3.122994723132078	PLK4;CCNB1;IL6;PLK1;TNFSF10;IL7R
Pancreatic cancer	4/76	0.1603181867526755	0.6500173753790298	0	0	1.9533172010485984	3.5757322549787967	RAD51;STAT1;E2F1;BRCA2
Linoleic acid metabolism	2/29	0.19183129230169063	0.7638996104156609	0	0	2.6010314111579933	4.294664348966432	CYP2J2;JMJD7-PLA2G4B
Pathways in cancer	18/531	0.22394770450891718	0.8761462825524304	0	0	1.2370217909765102	1.851008546952516	IL15RA;STAT1;STAT2;CALML4;BRCA2;KIF7;ADCY7;CCNA2;DLL4;WNT6;IL6;RAD51;CCNE2;STAT4;E2F1;BIRC5;JAK2;IL7R
Base excision repair	2/33	0.23278641777795375	0.8950236407669601	0	0	2.2649477921017325	3.301464700949223	NEIL3;POLE2
Hypertrophic cardiomyopathy	4/90	0.24009212160854648	0.9074668325204385	0	0	1.6341535474612754	2.331500122005218	MYBPC3;IL6;ITGB8;SLC8A1
Phagosome	6/152	0.2474604980256228	0.9197281843285648	0	0	1.4446440601841455	2.0174516617336016	FCGR3A;CLEC7A;CYBB;CD14;TLR4;FCGR2C
Th1 and Th2 cell differentiation	4/92	0.25218659813841393	0.9219280554896115	0	0	1.5968487048341857	2.199796414594974	DLL4;STAT1;STAT4;JAK2
Human T-cell leukemia virus 1 infection	8/219	0.26414947116235554	0.9500860011162142	0	0	1.3331831532616512	1.7747869508033232	CDC20;CCNA2;IL15RA;IL6;CCNE2;E2F1;BUB1B;ADCY7
Dilated cardiomyopathy	4/96	0.27673003375288635	0.9795364686808516	0	0	1.5271048686183224	1.9618912562940622	MYBPC3;ITGB8;ADCY7;SLC8A1
Allograft rejection	2/38	0.28455028337444194	0.9914798936328211	0	0	1.949869399236488	2.4506841862707933	CD86;CD80
Inflammatory mediator regulation of TRP channels	4/98	0.28914630645944295	0.9919942513916273	0	0	1.494458817623663	1.8543580787767704	CYP2J2;JMJD7-PLA2G4B;CALML4;ADCY7
Hematopoietic cell lineage	4/99	0.2953835888257007	0.9980384895171402	0	0	1.4786512560894067	1.8031863231195755	IL6;CD38;CD14;IL7R
Amoebiasis	4/102	0.3141887302027493	0.9996464806701492	0	0	1.433164191266343	1.6592622120857743	IL6;SERPINB9;CD14;TLR4
Bladder cancer	2/41	0.3154983193509224	0.9996464806701492	0	0	1.7996012426392174	2.0760234558577046	E2F1;TYMP
Yersinia infection	5/137	0.3317818670338899	0.9996464806701492	0	0	1.3300964187327824	1.4674655221253219	IL6;IFNB1;CCL2;TLR4;MYD88
Type I diabetes mellitus	2/43	0.33596666073530373	0.9996464806701492	0	0	1.7116393948749613	1.8669592840388123	CD86;CD80
Th17 cell differentiation	4/107	0.34572942330369755	0.9996464806701492	0	0	1.3632407097422163	1.4478963538686245	IL6;STAT1;IL21R;JAK2
Breast cancer	5/147	0.38688414790116676	0.9996464806701492	0	0	1.235787451984635	1.1735408259147864	DLL4;WNT6;E2F1;BRCA1;BRCA2
Glutamatergic synapse	4/114	0.38993518022691825	0.9996464806701492	0	0	1.2760270582412143	1.2017300742551469	GRK3;GRIN3A;JMJD7-PLA2G4B;ADCY7
B cell receptor signaling pathway	3/81	0.39110097449584585	0.9996464806701492	0	0	1.3494286510590858	1.266829456095057	IFITM1;DAPP1;LILRB2
Cholesterol metabolism	2/50	0.40588520400646483	0.9996464806701492	0	0	1.4614978902953586	1.3178105909196571	CETP;APOA2
Herpes simplex virus 1 infection	15/498	0.40987105010743535	0.9996464806701492	0	0	1.0905221992178513	0.9726505780521155	STAT1;IFNB1;DDX58;STAT2;CARD9;EIF2AK2;IFIH1;IL6;OAS1;OAS2;OAS3;CCL2;JAK2;MYD88;IRF9
Complement and coagulation cascades	3/85	0.4209863022637707	0.9996464806701492	0	0	1.2833377518557794	1.1102860496319087	C4A;CFH;CFB
One carbon pool by folate	1/20	0.4305682662728285	0.9996464806701492	0	0	1.845525365760973	1.5551308297796114	TYMS
Human cytomegalovirus infection	7/225	0.4335235151983094	0.9996464806701492	0	0	1.126607178731668	0.9416286889937511	IL6;IFNB1;IL10RA;E2F1;CCL2;CALML4;ADCY7
Autoimmune thyroid disease	2/53	0.43477345790370714	0.9996464806701492	0	0	1.3753146828351595	1.145541092547218	CD86;CD80
Endocrine and other factor-regulated calcium reabsorption	2/53	0.43477345790370714	0.9996464806701492	0	0	1.3753146828351595	1.145541092547218	CALB1;SLC8A1
Hedgehog signaling pathway	2/56	0.46288749138974566	0.9996464806701492	0	0	1.2987073873149821	1.0003569672648724	GRK3;KIF7
Morphine addiction	3/91	0.46482399431617	0.9996464806701492	0	0	1.1954668972332017	0.9158429483265166	GRK3;PDE4B;ADCY7
Mismatch repair	1/23	0.47671713977536967	0.9996464806701492	0	0	1.5936166721365277	1.1806021664706816	EXO1
GnRH signaling pathway	3/93	0.47911521757303716	0.9996464806701492	0	0	1.168780193236715	0.8600050310306102	JMJD7-PLA2G4B;CALML4;ADCY7
Salivary secretion	3/93	0.47911521757303716	0.9996464806701492	0	0	1.168780193236715	0.8600050310306102	CD38;CALML4;ADCY7
Notch signaling pathway	2/59	0.4901631982535875	0.9996464806701492	0	0	1.2301640176390343	0.8771277167184003	DLL4;DTX3L
Vitamin digestion and absorption	1/24	0.4912549255408459	0.9996464806701492	0	0	1.5242505101239994	1.0834252047117139	SLC46A1
MicroRNAs in cancer	9/310	0.49272206981106353	0.9996464806701492	0	0	1.048373553356942	0.7420493024421475	MIR221;CCNE2;CDCA5;STMN1;E2F1;KIF23;BRCA1;CDC25C;CDC25A
Viral carcinogenesis	6/203	0.4958065136666406	0.9996464806701492	0	0	1.0678205875010403	0.7491503789172412	CDC20;CCNA2;CCNE2;CDK1;EIF2AK2;IRF9
Chemical carcinogenesis	7/239	0.496146662576721	0.9996464806701492	0	0	1.0578514346841177	0.7414308331837371	PAQR8;DLL4;E2F1;BIRC5;JAK2;ADCY7;CDC25A
Mineral absorption	2/60	0.49905998665551077	0.9996464806701492	0	0	1.2088919373947746	0.8402149262091785	SLC46A1;SLC8A1
Viral myocarditis	2/60	0.49905998665551077	0.9996464806701492	0	0	1.2088919373947746	0.8402149262091785	CD86;CD80
alpha-Linolenic acid metabolism	1/25	0.5053895305255569	0.9996464806701492	0	0	1.460664861612515	0.9967953859393754	JMJD7-PLA2G4B
Vascular smooth muscle contraction	4/133	0.5064151802699187	0.9996464806701492	0	0	1.087015855597293	0.7396038834522343	PTGIR;JMJD7-PLA2G4B;CALML4;ADCY7
Systemic lupus erythematosus	4/135	0.5181399958454076	0.9996464806701492	0	0	1.0703093611892327	0.7037389057732512	CD86;C4A;FCGR3A;CD80
Basal cell carcinoma	2/63	0.5251445414087447	0.9996464806701492	0	0	1.1492603681854563	0.7402176145672892	WNT6;KIF7
Melanogenesis	3/101	0.5343668380164921	0.9996464806701492	0	0	1.0729259094942325	0.6723733908672838	WNT6;CALML4;ADCY7
Phototransduction	1/28	0.545484346006379	0.9996464806701492	0	0	1.2981682043053884	0.7867953050538898	CALML4
Acute myeloid leukemia	2/67	0.558471130052103	0.9996464806701492	0	0	1.0783140909723188	0.6281744117754452	CCNA2;CD14
Signaling pathways regulating pluripotency of stem cells	4/143	0.5636610583668308	0.9996464806701492	0	0	1.00829100784708	0.5780554212532016	WNT6;ID1;HESX1;JAK2
Fc epsilon RI signaling pathway	2/68	0.5665383194243974	0.9996464806701492	0	0	1.0619212011617074	0.6033948386817268	JMJD7-PLA2G4B;ALOX5
Amphetamine addiction	2/69	0.5744987550974793	0.9996464806701492	0	0	1.0460176513454427	0.5797629700526301	GRIN3A;CALML4
Drug metabolism	3/108	0.5798818322795467	0.9996464806701492	0	0	1.0010351966873705	0.5454950443453811	RRM2;TK1;TYMP
Prolactin signaling pathway	2/70	0.5823521397692459	0.9996464806701492	0	0	1.0305818529943622	0.5572149582180562	STAT1;JAK2
HIF-1 signaling pathway	3/109	0.5861509336260264	0.9996464806701492	0	0	0.9915401968826907	0.5296589163119029	IL6;CYBB;TLR4
Serotonergic synapse	3/113	0.6106222950962995	0.9996464806701492	0	0	0.9552865612648221	0.4712205890490237	CYP2J2;JMJD7-PLA2G4B;ALOX5
Leukocyte transendothelial migration	3/114	0.6165868072930627	0.9996464806701492	0	0	0.9466314140227183	0.4577494511696975	VCAM1;CLDN7;CYBB
Glioma	2/75	0.6200095002442018	0.9996464806701492	0	0	0.9597463400133766	0.4587784042943644	E2F1;CALML4
Thyroid hormone synthesis	2/75	0.6200095002442018	0.9996464806701492	0	0	0.9597463400133766	0.4587784042943644	TTF2;ADCY7
Oxytocin signaling pathway	4/154	0.6221962455207142	0.9996464806701492	0	0	0.9338173018753781	0.44309605642967204	JMJD7-PLA2G4B;CD38;CALML4;ADCY7
Nicotinate and nicotinamide metabolism	1/35	0.6268700906546614	0.9996464806701492	0	0	1.0305266510936504	0.48127238476915735	CD38
Gastric acid secretion	2/76	0.6272194975267169	0.9996464806701492	0	0	0.9467279214114657	0.44160949801808447	CALML4;ADCY7
Cushing syndrome	4/155	0.6272657220304417	0.9996464806701492	0	0	0.9275850049879208	0.4326117594837904	WNT6;CCNE2;E2F1;ADCY7
Arrhythmogenic right ventricular cardiomyopathy	2/77	0.634322842862232	0.9996464806701492	0	0	0.9340566606389391	0.4251800123201532	ITGB8;SLC8A1
DNA replication	1/36	0.6372425615019203	0.9996464806701492	0	0	1.001031459515214	0.45106968932447605	POLE2
Mucin type O-glycan biosynthesis	1/36	0.6372425615019203	0.9996464806701492	0	0	1.001031459515214	0.45106968932447605	GALNT12
Pathogenic Escherichia coli infection	5/197	0.641659302181232	0.9996464806701492	0	0	0.9116003787878788	0.40447508082841904	IL6;CLDN7;TNFSF10;TLR4;MYD88
Growth hormone synthesis, secretion and action	3/119	0.6454743429261955	0.9996464806701492	0	0	0.9055940779610195	0.3964417538598142	STAT1;JAK2;ADCY7
RNA degradation	2/79	0.6482110638212972	0.9996464806701492	0	0	0.9097015100631737	0.39439101009520167	PNPT1;PABPC4L
Primary immunodeficiency	1/38	0.6571319689458951	0.9996464806701492	0	0	0.9468240803980876	0.3975434192779766	IL7R
Platelet activation	3/124	0.672788599917258	0.9996464806701492	0	0	0.8679482572763205	0.3439888246739914	PTGIR;JMJD7-PLA2G4B;ADCY7
Nicotine addiction	1/40	0.6759327237362514	0.9996464806701492	0	0	0.8981764324724614	0.3517813344819822	GRIN3A
cGMP-PKG signaling pathway	4/167	0.6846472660425498	0.9996464806701492	0	0	0.8587620945742821	0.325343319206606	ADORA3;CALML4;ADCY7;SLC8A1
Ferroptosis	1/41	0.684943574612559	0.9996464806701492	0	0	0.8756768953068592	0.3313726147446952	CYBB
Salmonella infection	6/249	0.6926997388132381	0.9996464806701492	0	0	0.8636128538982212	0.3170829304319519	IL6;CASP5;TNFSF10;CD14;TLR4;MYD88
Purine metabolism	3/129	0.6985254307435762	0.9996464806701492	0	0	0.8332902001380262	0.2989709355943754	RRM2;PDE4B;ADCY7
ECM-receptor interaction	2/88	0.7055624390141478	0.9996464806701492	0	0	0.8141217040245595	0.2839330923311057	ITGB8;HMMR
Gap junction	2/88	0.7055624390141478	0.9996464806701492	0	0	0.8141217040245595	0.2839330923311057	CDK1;ADCY7
Natural killer cell mediated cytotoxicity	3/131	0.7083809415704185	0.9996464806701492	0	0	0.8201851222826086	0.28277791229163923	FCGR3A;IFNB1;TNFSF10
Vasopressin-regulated water reabsorption	1/44	0.7105029744066678	0.9996464806701492	0	0	0.8144572244144068	0.2783669372498745	AVPR2
Bile secretion	2/90	0.7171975948700345	0.9996464806701492	0	0	0.7955367417392734	0.26443950819384776	AQP9;ADCY7
Glycosphingolipid biosynthesis	1/45	0.7185541903761582	0.9996464806701492	0	0	0.7959058089924516	0.26305813573374753	FUT7
cAMP signaling pathway	5/216	0.7193461454549593	0.9996464806701492	0	0	0.8286945282205945	0.27298242816779733	GRIN3A;PDE4B;FFAR2;CALML4;ADCY7
Small cell lung cancer	2/92	0.7284439510559206	0.9996464806701492	0	0	0.7777777777777778	0.24643468404555097	CCNE2;E2F1
Neuroactive ligand-receptor interaction	8/341	0.7332958795500559	0.9996464806701492	0	0	0.8393914938704701	0.2603842802229148	PTGIR;P2RY6;GRIN3A;ADORA3;AVPR2;FPR3;FPR2;RXFP1
Nucleotide excision repair	1/47	0.7339922509872188	0.9996464806701492	0	0	0.7612227279861874	0.23541331077636465	POLE2
Other types of O-glycan biosynthesis	1/47	0.7339922509872188	0.9996464806701492	0	0	0.7612227279861874	0.23541331077636465	GALNT12
Apelin signaling pathway	3/137	0.7364618707661768	0.9996464806701492	0	0	0.7832170668397145	0.23958438963111572	CALML4;ADCY7;SLC8A1
Fluid shear stress and atherosclerosis	3/139	0.7453342051989967	0.9996464806701492	0	0	0.7716192455242967	0.226796306775196	VCAM1;CCL2;CALML4
Cocaine addiction	1/49	0.7485849286442612	0.9996464806701492	0	0	0.7294299037304453	0.21122146687047158	GRIN3A
Ether lipid metabolism	1/49	0.7485849286442612	0.9996464806701492	0	0	0.7294299037304453	0.21122146687047158	JMJD7-PLA2G4B
Ubiquitin mediated proteolysis	3/140	0.7496803131477496	0.9996464806701492	0	0	0.7659473183116471	0.22067586590530833	CDC20;UBE2C;BRCA1
Circadian entrainment	2/97	0.7549096492259879	0.9996464806701492	0	0	0.736651755972209	0.2071149500886584	CALML4;ADCY7
Fc gamma R-mediated phagocytosis	2/97	0.7549096492259879	0.9996464806701492	0	0	0.736651755972209	0.2071149500886584	FCGR3A;JMJD7-PLA2G4B
Prostate cancer	2/97	0.7549096492259879	0.9996464806701492	0	0	0.736651755972209	0.2071149500886584	CCNE2;E2F1
Apoptosis	3/142	0.7581942189297507	0.9996464806701492	0	0	0.7548482952768221	0.2089538597482468	TNFSF10;BIRC5;LMNB1
Aldosterone synthesis and secretion	2/98	0.759928018288245	0.9996464806701492	0	0	0.7289406268836649	0.2001172096077328	CALML4;ADCY7
Glycerophospholipid metabolism	2/98	0.759928018288245	0.9996464806701492	0	0	0.7289406268836649	0.2001172096077328	JMJD7-PLA2G4B;LPIN3
PI3K-Akt signaling pathway	8/354	0.7696060533433947	0.9996464806701492	0	0	0.8073041603702803	0.2114139993286357	IL6;CCNE2;IFNB1;ITGB8;BRCA1;JAK2;IL7R;TLR4
Pancreatic secretion	2/102	0.7791208319174548	0.9996464806701492	0	0	0.6996383363471971	0.1746221261772409	CD38;ADCY7
Phospholipase D signaling pathway	3/148	0.7823380750432868	0.9996464806701492	0	0	0.7233883058470765	0.1775689055129278	JMJD7-PLA2G4B;AVPR2;ADCY7
Transcriptional misregulation in cancer	4/192	0.7833985529514943	0.9996464806701492	0	0	0.7435996447464958	0.18152286423460445	CD86;CCNA2;IL6;CD14
Gastric cancer	3/149	0.7861626699223321	0.9996464806701492	0	0	0.7183963668850506	0.17284009454486793	WNT6;CCNE2;E2F1
Regulation of lipolysis in adipocytes	1/55	0.7877403293441732	0.9996464806701492	0	0	0.6481815750768819	0.15464755143100536	ADCY7
Adrenergic signaling in cardiomyocytes	3/150	0.7899315018021091	0.9996464806701492	0	0	0.7134723454599231	0.16824323160339283	CALML4;ADCY7;SLC8A1
Parathyroid hormone synthesis, secretion and action	2/106	0.796956897839717	0.9996464806701492	0	0	0.6725900681596884	0.1526474651408426	PDE4B;ADCY7
Calcium signaling pathway	5/240	0.7992673420019389	0.9996464806701492	0	0	0.7431334622823984	0.16650633005246268	CD38;CALML4;ADCY7;MCOLN2;SLC8A1
Glutathione metabolism	1/57	0.7993890726980472	0.9996464806701492	0	0	0.6249677668901495	0.1399349716260212	RRM2
VEGF signaling pathway	1/59	0.8103996191398383	0.9996464806701492	0	0	0.6033549109921573	0.126841973151756	JMJD7-PLA2G4B
Long-term depression	1/60	0.8156765520434497	0.9996464806701492	0	0	0.5930979624303984	0.12083622785387416	JMJD7-PLA2G4B
Shigellosis	5/246	0.8161761739114897	0.9996464806701492	0	0	0.7244058845718597	0.14714498001691112	RNF31;IFNB1;CD14;TLR4;MYD88
Glycerolipid metabolism	1/61	0.8208068736597679	0.9996464806701492	0	0	0.5831829121540313	0.11515963103394326	LPIN3
