Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
centromere complex assembly (GO:0034508)	11/37	3.0261277190921978E-9	3.86388728764088E-7	0	0	15.102446266968325	296.2493143589225	CENPU;HELLS;CENPE;CENPF;CENPI;CENPK;HJURP;CENPM;KNL1;CENPA;DLGAP5
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	9/22	3.297185427832148E-9	3.999485923960396E-7	0	0	24.63905325443787	481.2055549115496	CDC20;CENPF;PLK1;BUB1B;TTK;KNTC1;TRIP13;BUB1;ZWINT
positive regulation of interleukin-1 production (GO:0032732)	13/62	1.2038173310061475E-8	1.3906956404861494E-6	0	0	9.494239024022892	173.1291872546581	GBP5;NOD2;INAVA;IL6;AIM2;IFI16;CLEC7A;SAA1;TLR8;MNDA;JAK2;TLR4;MYD88
response to lipopolysaccharide (GO:0032496)	20/159	1.8269748643367204E-8	1.9496254594851844E-6	0	0	5.192227526390103	92.51520988340556	CD86;CX3CR1;CD274;CXCL9;CD80;ACOD1;NOD2;LILRB2;CXCL10;CXCL11;IL6;PDE4B;STAP1;CCL2;CD14;JAK2;S100A9;TLR4;S100A8;MYD88
cellular response to molecule of bacterial origin (GO:0071219)	17/115	1.8948427203718027E-8	1.9496254594851844E-6	0	0	6.238126849252712	110.92353269948424	CD86;CX3CR1;CD274;CXCL9;CD80;ACOD1;NOD2;LILRB2;CXCL10;CXCL11;IL6;PDE4B;STAP1;CCL2;CD14;TLR4;MYD88
positive regulation of cytokine production (GO:0001819)	30/335	1.9287308750059535E-8	1.9496254594851844E-6	0	0	3.5859484777517565	63.70013803482725	CD86;CD274;CD80;IL27;BRCA1;NOD2;INAVA;IFIH1;IFI16;CLEC7A;DHX58;PDE4B;FFAR2;CCL1;CD14;CCR2;GBP5;DDX58;NFAM1;CARD9;APOA2;EIF2AK2;ISG15;LILRB2;IL6;SAA1;TLR8;TLR7;TLR4;MYD88
lymphocyte chemotaxis (GO:0048247)	11/44	2.276231539499957E-8	2.1455558225358698E-6	0	0	11.894607843137255	209.32320603697244	CCL13;CH25H;CXCL10;CXCL11;CCL8;CCL7;GPR183;SAA1;CCL2;CCL1;CYP7B1
positive regulation of type I interferon production (GO:0032481)	14/77	2.299441524564411E-8	2.1455558225358698E-6	0	0	7.961388375436434	140.02501391589155	DDX58;STAT1;ISG15;IFIH1;OAS1;IFI16;OAS2;OAS3;DHX58;TLR8;TLR7;CD14;TLR4;MYD88
cellular response to interferon-beta (GO:0035458)	8/20	3.138949737150029E-8	2.8204044675281373E-6	0	0	23.68433881779403	409.1894067478138	PNPT1;AIM2;IFI16;OAS1;IFNB1;STAT1;ACOD1;MNDA
positive regulation of interferon-beta production (GO:0032728)	10/36	3.315190366940082E-8	2.8435062555428332E-6	0	0	13.704304869442485	236.01780921056897	IFIH1;OAS1;DDX58;OAS2;OAS3;DHX58;TLR8;ISG15;TLR7;TLR4
positive regulation of interleukin-1 beta production (GO:0032731)	12/56	3.399080025174862E-8	2.8435062555428332E-6	0	0	9.744349573078855	167.57529392946273	GBP5;IL6;AIM2;IFI16;CLEC7A;TLR8;MNDA;NOD2;JAK2;TLR4;INAVA;MYD88
cellular response to lipopolysaccharide (GO:0071222)	17/120	3.628833154969739E-8	2.9345164113188617E-6	0	0	5.933771249142816	101.65600185350348	CD86;CX3CR1;CD274;CXCL9;CD80;ACOD1;NOD2;LILRB2;CXCL10;CXCL11;IL6;PDE4B;STAP1;CCL2;CD14;TLR4;MYD88
response to interferon-gamma (GO:0034341)	14/80	3.825039867730464E-8	2.9934021674561636E-6	0	0	7.598330812748558	129.7727418530478	GBP5;CCL13;IFITM1;STAT1;ACOD1;CCL8;CCL7;CCL2;CCL1;GBP2;TLR4;GBP1;GBP4;GBP3
neutrophil chemotaxis (GO:0030593)	13/70	5.614286104281652E-8	4.256330652808527E-6	0	0	8.158347899268467	136.20660661920198	CCL13;CXCL9;CXCL10;CXCL11;CCL8;CCL7;PDE4B;SAA1;CCL2;S100A12;CCL1;S100A9;S100A8
negative regulation of innate immune response (GO:0045824)	10/38	5.865159923702776E-8	4.311781204516041E-6	0	0	12.724115334207077	211.87752776216522	IFI16;OAS1;STAT2;OAS3;DHX58;NLRC5;ACOD1;ISG15;SAMHD1;USP18
interleukin-27-mediated signaling pathway (GO:0070106)	7/15	6.472208642188416E-8	4.618111225279147E-6	0	0	31.03535583941606	513.7333141228952	OAS1;STAT1;OAS2;MX1;IL27;JAK2;OASL
cellular response to cytokine stimulus (GO:0071345)	36/482	8.207128728713251E-8	5.688712655959528E-6	0	0	2.9548199797817465	48.20989018627913	CD86;CCL13;CD80;SLA;BRCA1;IFIT1;MUC1;CCL8;CCL7;IFI16;ALOX5;STAT4;CCL2;CCL1;JAK2;GBP2;GBP1;GBP4;CCR2;GBP3;GBP5;PNPT1;VCAM1;STAT1;IFNB1;IL10RA;STAT2;ACOD1;CXCL10;IL6;AIM2;OAS1;SAA1;BIRC5;MNDA;TLR4
granulocyte chemotaxis (GO:0071621)	13/73	9.456839747919079E-8	6.372859230125468E-6	0	0	7.749231242312423	125.33562038824932	CCL13;CXCL9;CXCL10;CXCL11;CCL8;CCL7;PDE4B;SAA1;CCL2;S100A12;CCL1;S100A9;S100A8
negative regulation of type I interferon-mediated signaling pathway (GO:0060339)	7/16	1.123106344529922E-7	7.363935113052948E-6	0	0	27.585563665855638	441.4241148273084	OAS1;STAT2;OAS3;NLRC5;ISG15;SAMHD1;USP18
inflammatory response (GO:0006954)	23/230	1.230515525581038E-7	7.855870171209469E-6	0	0	4.017961570593149	63.928430258229085	CCL13;CXCL9;PTGIR;NFAM1;HP;CYBB;FPR3;FPR2;CXCL10;CXCL11;IL6;FUT7;CCL8;CCL7;ADORA3;CCL2;CCL1;CD14;SIGLEC1;TLR4;S100A9;S100A8;CCR2
neutrophil migration (GO:1990266)	13/77	1.8200256738167284E-7	1.1303031494308194E-5	0	0	7.263405212177122	112.72256533784046	CCL13;CXCL9;CXCL10;CXCL11;CCL8;CCL7;PDE4B;SAA1;CCL2;S100A12;CCL1;S100A9;S100A8
positive regulation of cytokine production involved in inflammatory response (GO:1900017)	7/17	1.8636490509988778E-7	1.1303031494308194E-5	0	0	24.8257299270073	384.68856850652423	GBP5;IL6;CLEC7A;CARD9;NOD2;TLR4;MYD88
DNA metabolic process (GO:0006259)	25/277	2.553932467351189E-7	1.5111805282424353E-5	0	0	3.592580113806529	54.53702351272765	TOP2A;BLM;UHRF1;MCM10;BRCA1;TYMS;SAMHD1;RAD51AP1;ORC6;CDC45;ORC1;EXO1;RAD54L;GEN1;HELLS;POLQ;RMI2;XRCC2;CDC7;TICRR;NEIL3;RAD51;POLE2;DMC1;CDK1
DNA replication (GO:0006260)	15/108	3.002326462149779E-7	1.73420095170842E-5	0	0	5.780167264038232	86.81064534383279	BLM;RMI2;CDC7;MCM10;BRCA1;TICRR;FAM111B;BRIP1;ORC6;CDC45;ORC1;EXO1;POLE2;CDK1;CLSPN
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	13/81	3.3599272358637376E-7	1.895624063768704E-5	0	0	6.83473518558715	101.87976786716119	CD86;DDX58;NOD2;IFIH1;IL6;OAS1;OAS2;CLEC7A;OAS3;CD14;JAK2;TLR4;CCR2
regulation of interleukin-1 beta production (GO:0032651)	13/83	4.500707850513755E-7	2.4815266466696292E-5	0	0	6.638771744860306	97.01808726730714	CX3CR1;GBP5;NOD2;INAVA;IL6;AIM2;IFI16;CLEC7A;TLR8;MNDA;JAK2;TLR4;MYD88
kinetochore organization (GO:0051383)	6/13	6.460971858142939E-7	3.48318171730106E-5	0	0	30.34816549570648	432.5316416922644	CENPE;CENPF;NUF2;CENPA;NDC80;DLGAP5
regulation of interferon-beta production (GO:0032648)	10/49	7.749234342438371E-7	4.086878807555541E-5	0	0	9.13008703834392	128.4649043450465	IFIH1;OAS1;DDX58;OAS2;OAS3;DHX58;TLR8;TLR7;ISG15;TLR4
pattern recognition receptor signaling pathway (GO:0002221)	11/61	8.097849200832063E-7	4.092787950253871E-5	0	0	7.843566176470588	110.01775866167935	S100A1;TLR8;FFAR2;TLR7;NOD2;CD14;S100A9;TLR4;S100A8;INAVA;MYD88
positive regulation of interleukin-8 production (GO:0032757)	11/61	8.097849200832063E-7	4.092787950253871E-5	0	0	7.843566176470588	110.01775866167935	IL6;DDX58;CLEC7A;APOA2;TLR8;FFAR2;TLR7;NOD2;CD14;TLR4;MYD88
replication fork processing (GO:0031297)	9/39	9.220001380227547E-7	4.5648414996800054E-5	0	0	10.667582417582418	148.24441088052285	GEN1;BLM;RAD51;EME1;FANCM;ZGRF1;DDX11;BRCA2;SAMHD1
positive regulation of interleukin-6 production (GO:0032755)	12/76	1.1402103845304945E-6	5.4530247574455546E-5	0	0	6.692334254143646	91.57989467494419	IFIH1;IL6;DDX58;CLEC7A;CARD9;TLR8;TLR7;NOD2;LILRB2;TLR4;INAVA;MYD88
mitotic metaphase plate congression (GO:0007080)	10/51	1.1463489803368643E-6	5.4530247574455546E-5	0	0	8.683821884090401	118.78537836104786	CENPE;CCNB1;PSRC1;KIFC1;CDCA5;NUF2;KIF14;KIF2C;CEP55;NDC80
positive regulation of tumor necrosis factor production (GO:0032760)	12/77	1.3171118673180096E-6	6.114904487335618E-5	0	0	6.589035274118147	89.2159935582683	IFIH1;IL6;OAS1;DDX58;OAS2;CLEC7A;OAS3;NOD2;CD14;JAK2;TLR4;CCR2
regulation of innate immune response (GO:0045088)	11/64	1.3359024642571628E-6	6.114904487335618E-5	0	0	7.398446170921199	100.07066889353518	GBP5;PLSCR1;IFI16;IFNB1;DHX58;ACOD1;TLR8;FPR2;PARP9;SAMHD1;USP18
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	17/155	1.5179358506527601E-6	6.819467358673326E-5	0	0	4.420815150045795	59.23078490444139	CX3CR1;RNF31;CARD9;EIF2AK2;NOD2;IL6;IL18RAP;AIM2;CLEC7A;CAPN3;TRIM14;S100A12;S100A9;TLR4;TRIM22;S100A8;MYD88
positive regulation of response to external stimulus (GO:0032103)	16/139	1.6181197748138135E-6	7.137379224906021E-5	0	0	4.663137095192845	62.17941583286256	GBP5;IFNB1;ACOD1;FPR2;DDX60;OASL;PLSCR1;DHX58;S100A12;TLR8;TLR7;CCL1;S100A9;TLR4;S100A8;CCR2
chromatin remodeling at centromere (GO:0031055)	8/32	1.953463006607855E-6	8.462680810769027E-5	0	0	11.834856794637416	155.5799251191434	CENPU;HELLS;CENPI;CENPK;HJURP;CENPM;KNL1;CENPA
regulation of cytokine production involved in inflammatory response (GO:1900015)	9/43	2.2226356366008507E-6	9.459849218234499E-5	0	0	9.410633484162895	122.4964924359872	GBP5;IL6;CLEC7A;ALOX5;CARD9;NOD2;ADCY7;TLR4;MYD88
negative regulation of cytokine-mediated signaling pathway (GO:0001960)	10/55	2.375304004300708E-6	9.935323300747446E-5	0	0	7.910295616717635	102.44137470379309	IL6;OAS1;OAS3;STAT2;NLRC5;STAP1;ISG15;SAMHD1;PARP14;USP18
interferon-gamma-mediated signaling pathway (GO:0060333)	11/68	2.491602748072692E-6	1.0174202141328428E-4	0	0	6.877837977296181	88.74188485837992	VCAM1;OAS1;OAS2;STAT1;OAS3;JAK2;GBP2;GBP1;TRIM22;IRF9;OASL
mitotic G2 DNA damage checkpoint signaling (GO:0007095)	8/33	2.5162907192073607E-6	1.0174202141328428E-4	0	0	11.360877513711152	146.47266588051724	BLM;PLK1;CDK1;BRCA1;CLSPN;DTL;CDK5RAP3;TICRR
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	12/82	2.6180865173371162E-6	1.0412258837803023E-4	0	0	6.11681136543015	78.61978535147075	HERC5;CCNA2;BLM;CCNB1;PSRC1;CCNE2;PLK1;PKD2;CDC25C;PKMYT1;CDK5RAP3;CDC25A
defense response to fungus (GO:0050832)	7/24	2.800645129413961E-6	1.0875351190123048E-4	0	0	14.598110777157578	186.64649219144184	CX3CR1;CLEC4D;CLEC7A;CARD9;S100A12;S100A9;S100A8
double-strand break repair via synthesis-dependent strand annealing (GO:0045003)	4/5	2.869012679999485E-6	1.0875351190123048E-4	0	0	141.15426497277676	1801.3461658076187	RAD51;FANCM;DMC1;RAD54L
regulation of ribonuclease activity (GO:0060700)	4/5	2.869012679999485E-6	1.0875351190123048E-4	0	0	141.15426497277676	1801.3461658076187	OAS1;OAS2;OAS3;OASL
sister chromatid segregation (GO:0000819)	8/34	3.2110809052848116E-6	1.1860435483131864E-4	0	0	10.923358177471522	138.16849744090055	TOP2A;SGO1;KIF18B;KIFC1;PLK1;CENPK;NDC80;ZWINT
double-strand break repair (GO:0006302)	17/164	3.315247612920956E-6	1.1860435483131864E-4	0	0	4.148218395164758	52.33798123659533	GEN1;POLQ;BLM;DTX3L;CDCA5;XRCC2;BRCA1;BRCA2;PARP9;SAMHD1;RAD54B;RAD51AP1;BRIP1;RAD51;EME1;AUNIP;TRIP13
mitotic G2/M transition checkpoint (GO:0044818)	9/45	3.32444193261734E-6	1.1860435483131864E-4	0	0	8.886904761904763	112.10127169923751	BLM;ORC1;PLK1;CDK1;BRCA1;CLSPN;DTL;CDK5RAP3;TICRR
positive regulation of response to biotic stimulus (GO:0002833)	9/45	3.32444193261734E-6	1.1860435483131864E-4	0	0	8.886904761904763	112.10127169923751	GBP5;PLSCR1;IFNB1;DHX58;ACOD1;TLR8;FPR2;DDX60;OASL
receptor signaling pathway via STAT (GO:0097696)	7/25	3.797079057873611E-6	1.335030984695852E-4	0	0	13.78639497161395	172.07183454221735	STAT1;STAT2;STAT4;CCL2;PKD2;JAK2;CCR2
protein localization to chromosome, centromeric region (GO:0071459)	6/17	4.2380204091923524E-6	1.468776787528664E-4	0	0	19.30849478390462	238.87338814065296	CDK1;TTK;KNL1;HASPIN;CENPA;AURKB
positive regulation of lymphocyte proliferation (GO:0050671)	11/75	6.681545034428777E-6	2.2830180638766498E-4	0	0	6.123362821691177	72.96697910974366	CD86;SASH3;CD274;IL6;VCAM1;CD70;CD80;GPR183;CD38;LILRB2;TNFSF13B
regulation of nuclease activity (GO:0032069)	4/6	8.417574354209611E-6	2.8362549143489606E-4	0	0	70.57350272232306	824.6647073041484	OAS1;OAS2;OAS3;OASL
DNA recombination (GO:0006310)	8/39	9.630339139440138E-6	3.1571895611191586E-4	0	0	9.159167305537537	105.79380566665668	GEN1;BLM;RAD51;EXO1;XRCC2;DMC1;RAD54L;RAD54B
DNA replication-independent nucleosome assembly (GO:0006336)	8/39	9.630339139440138E-6	3.1571895611191586E-4	0	0	9.159167305537537	105.79380566665668	CENPU;CENPI;CENPK;HJURP;CENPM;KNL1;CENPA;ASF1B
recombinational repair (GO:0000725)	11/79	1.1153965149467081E-5	3.607935927014285E-4	0	0	5.761975562283737	65.70793005610314	GEN1;RAD51AP1;POLQ;BLM;RAD51;XRCC2;AUNIP;BRCA1;BRCA2;SAMHD1;RAD54B
cellular response to lipid (GO:0071396)	19/219	1.2283102448497423E-5	3.8451632925106565E-4	0	0	3.4109608208955224	38.56870962114383	CD86;CX3CR1;CD274;CXCL9;CD80;ACOD1;LILRB2;NOD2;WNT6;CXCL10;CXCL11;IL6;PDE4B;STAP1;CCL2;FFAR2;CD14;TLR4;MYD88
positive regulation of G2/M transition of mitotic cell cycle (GO:0010971)	6/20	1.236284982752808E-5	3.8451632925106565E-4	0	0	15.168618266978923	171.4177422263421	CCNB1;CDK1;CDC7;CDC25C;DTL;CDC25A
positive regulation of interferon-alpha production (GO:0032727)	6/20	1.236284982752808E-5	3.8451632925106565E-4	0	0	15.168618266978923	171.4177422263421	IFIH1;DDX58;STAT1;TLR8;TLR7;TLR4
regulation of interleukin-8 production (GO:0032677)	11/81	1.4234848355790287E-5	4.217615525126961E-4	0	0	5.596769957983193	62.45893126574654	IL6;DDX58;CLEC7A;APOA2;TLR8;FFAR2;TLR7;NOD2;CD14;TLR4;MYD88
CENP-A containing chromatin organization (GO:0061641)	7/30	1.4255749095647601E-5	4.217615525126961E-4	0	0	10.786575690257061	120.36038995239744	CENPU;CENPI;CENPK;HJURP;CENPM;KNL1;CENPA
CENP-A containing nucleosome assembly (GO:0034080)	7/30	1.4255749095647601E-5	4.217615525126961E-4	0	0	10.786575690257061	120.36038995239744	CENPU;CENPI;CENPK;HJURP;CENPM;KNL1;CENPA
regulation of type I interferon-mediated signaling pathway (GO:0060338)	7/30	1.4255749095647601E-5	4.217615525126961E-4	0	0	10.786575690257061	120.36038995239744	OAS1;STAT2;OAS3;NLRC5;ISG15;SAMHD1;USP18
regulation of cyclin-dependent protein kinase activity (GO:1904029)	9/54	1.598022922805869E-5	4.6708477237675163E-4	0	0	7.106227106227106	78.48229688537121	HERC5;CCNA2;BLM;CCNB1;CCNE2;CDC25C;PKMYT1;CDK5RAP3;CDC25A
positive regulation of defense response (GO:0031349)	12/98	1.7169233283159636E-5	4.901022194791102E-4	0	0	4.974688423487088	54.584229164534065	GBP5;PLSCR1;IFNB1;S100A12;TLR8;TLR7;CCL1;FPR2;S100A9;TLR4;S100A8;CCR2
monocyte chemotaxis (GO:0002548)	8/42	1.717175954481631E-5	4.901022194791102E-4	0	0	8.349715023120766	91.61511399126809	CCL13;IL6;CCL8;CCL7;PTPRO;CCL2;S100A12;CCL1
receptor signaling pathway via JAK-STAT (GO:0007259)	7/31	1.7975807560335755E-5	5.07084990015983E-4	0	0	10.336602798053528	112.94272228094937	STAT1;STAT2;STAT4;CCL2;PKD2;JAK2;CCR2
regulation of inflammatory response (GO:0050727)	18/206	1.880485855331103E-5	5.243745614980754E-4	0	0	3.433436348508261	37.3605781037215	ACOD1;FPR2;NOD2;USP18;IL6;CASP5;ALOX5;SAA1;S100A12;FFAR2;TLR7;CCL1;JAK2;TLR4;S100A9;S100A8;MYD88;CCR2
chemokine-mediated signaling pathway (GO:0070098)	9/56	2.1671747826592934E-5	5.974506844013006E-4	0	0	6.8031330371755905	73.06225466243123	CCL13;CXCL10;CXCL9;CXCL11;CCL8;CCL7;CCL2;CCL1;CCR2
positive regulation of interleukin-10 production (GO:0032733)	7/32	2.2462100601188915E-5	6.122815287470147E-4	0	0	9.922627737226277	106.20864284136763	CD274;IL6;CLEC7A;ISG15;NOD2;TLR4;INAVA
positive regulation of cell cycle process (GO:0090068)	12/101	2.33675198209199E-5	6.298844787283519E-4	0	0	4.8062573716555965	51.25471463466385	GEN1;PLK4;CCNB1;PLSCR1;DDX11;KIF14;CDC7;KIF23;KIF20B;NDC80;AURKB;E2F8
positive regulation of interferon-gamma production (GO:0032729)	9/57	2.5109597070823978E-5	6.694053021298788E-4	0	0	6.6610576923076925	70.55565782607418	CLEC7A;PDE4B;TLR8;IL27;TLR7;ISG15;CD14;TLR4;CCR2
antiviral innate immune response (GO:0140374)	5/14	2.6285753477978344E-5	6.856907305115641E-4	0	0	19.632323232323234	207.05197221969175	CXCL10;OAS1;DDX58;MX1;IFIT1
defense response to protozoan (GO:0042832)	5/14	2.6285753477978344E-5	6.856907305115641E-4	0	0	19.632323232323234	207.05197221969175	BATF2;CLEC7A;GBP2;GBP4;MYD88
positive regulation of mitotic cell cycle phase transition (GO:1901992)	9/58	2.8999244652069167E-5	7.484273141055297E-4	0	0	6.524781341107872	68.17248645480046	CCNB1;UBE2C;CDCA5;CDK1;CDC7;CDC25C;DTL;DLGAP5;CDC25A
positive regulation of cell cycle G2/M phase transition (GO:1902751)	6/23	2.9993367553391625E-5	7.659358914160851E-4	0	0	12.489874638379941	130.0762276030105	CCNB1;CDK1;CDC7;CDC25C;DTL;CDC25A
DNA repair (GO:0006281)	22/298	3.296549583389574E-5	8.330655509690736E-4	0	0	2.866723767572124	29.58473010711331	FANCI;POLQ;RMI2;BLM;FANCM;DTX3L;CDCA5;XRCC2;BRCA1;BRCA2;PARP9;TICRR;RAD51AP1;NEIL3;BRIP1;RAD51;EME1;EXO1;POLE2;CDK1;RAD54L;TRIP13
mitotic DNA damage checkpoint signaling (GO:0044773)	9/59	3.338770582337636E-5	8.350368487372274E-4	0	0	6.393956043956044	65.9045690091026	BLM;EME1;PLK1;CDK1;BRCA1;CLSPN;DTL;CDK5RAP3;TICRR
mitotic nuclear division (GO:0140014)	10/74	3.639515463926553E-5	9.009657668863079E-4	0	0	5.556479357798165	56.7931917324092	SGO1;TPX2;KIF18B;KIFC1;UBE2C;PLK1;CENPK;KIF11;NDC80;ZWINT
meiotic sister chromatid cohesion (GO:0051177)	4/8	3.75735933173486E-5	9.205721487545536E-4	0	0	35.28312159709619	359.5071022312781	SGO1;BUB1B;BUB1;REC8
